Sqrt of 946.0 is 30.757, time taken 0.280 seconds
Sqrt of 948.0 is 30.790, time taken 0.257 seconds
Sqrt of 950.0 is 30.822, time taken 0.245 seconds
Sqrt of 952.0 is 30.854, time taken 0.295 seconds
Sqrt of 954.0 is 30.887, time taken 0.255 seconds
Sqrt of 956.0 is 30.919, time taken 0.266 seconds
Sqrt of 958.0 is 30.952, time taken 0.267 seconds
Sqrt of 960.0 is 30.984, time taken 0.277 seconds
Sqrt of 962.0 is 31.016, time taken 0.252 seconds
Sqrt of 964.0 is 31.048, time taken 0.264 seconds
Sqrt of 966.0 is 31.081, time taken 0.281 seconds
Sqrt of 968.0 is 31.113, time taken 0.265 seconds
Sqrt of 970.0 is 31.145, time taken 0.261 seconds
Sqrt of 972.0 is 31.177, time taken 0.264 seconds
Sqrt of 974.0 is 31.209, time taken 0.301 seconds
Sqrt of 976.0 is 31.241, time taken 0.272 seconds
Sqrt of 978.0 is 31.273, time taken 0.264 seconds
Sqrt of 980.0 is 31.305, time taken 0.259 seconds
Sqrt of 982.0 is 31.337, time taken 0.264 seconds
Sqrt of 984.0 is 31.369, time taken 0.261 seconds
Sqrt of 986.0 is 31.401, time taken 0.282 seconds
Sqrt of 988.0 is 31.432, time taken 0.298 seconds
Sqrt of 990.0 is 31.464, time taken 0.263 seconds
Sqrt of 992.0 is 31.496, time taken 0.258 seconds
Sqrt of 994.0 is 31.528, time taken 0.264 seconds
Sqrt of 996.0 is 31.559, time taken 0.251 seconds
Sqrt of 998.0 is 31.591, time taken 0.258 seconds
Sqrt of 1000.0 is 31.623, time taken 0.253 seconds
Sqrt of 1002.0 is 31.654, time taken 0.277 seconds
Sqrt of 1004.0 is 31.686, time taken 0.245 seconds
Sqrt of 1006.0 is 31.718, time taken 0.238 seconds
Sqrt of 1008.0 is 31.749, time taken 0.260 seconds
Sqrt of 1010.0 is 31.780, time taken 0.248 seconds
Sqrt of 1012.0 is 31.812, time taken 0.249 seconds
Sqrt of 1014.0 is 31.843, time taken 0.271 seconds
Sqrt of 1016.0 is 31.875, time taken 0.295 seconds
Sqrt of 1018.0 is 31.906, time taken 0.303 seconds
Sqrt of 1020.0 is 31.937, time taken 0.251 seconds
Sqrt of 1022.0 is 31.969, time taken 0.261 seconds
Sqrt of 1024.0 is 32.000, time taken 0.253 seconds
Sqrt of 1026.0 is 32.031, time taken 0.264 seconds
Sqrt of 1028.0 is 32.062, time taken 0.252 seconds
Sqrt of 1030.0 is 32.094, time taken 0.256 seconds
Sqrt of 1032.0 is 32.125, time taken 0.239 seconds
Sqrt of 1034.0 is 32.156, time taken 0.284 seconds
Sqrt of 1036.0 is 32.187, time taken 0.221 seconds
Sqrt of 1038.0 is 32.218, time taken 0.252 seconds
Sqrt of 1040.0 is 32.249, time taken 0.255 seconds
Sqrt of 1042.0 is 32.280, time taken 0.244 seconds
Sqrt of 1044.0 is 32.311, time taken 0.231 seconds
Sqrt of 1046.0 is 32.342, time taken 0.231 seconds
Sqrt of 1048.0 is 32.373, time taken 0.237 seconds
Sqrt of 1050.0 is 32.404, time taken 0.246 seconds
Sqrt of 1052.0 is 32.435, time taken 0.288 seconds
Sqrt of 1054.0 is 32.465, time taken 0.253 seconds
Sqrt of 1056.0 is 32.496, time taken 0.237 seconds
Sqrt of 1058.0 is 32.527, time taken 0.238 seconds
Sqrt of 1060.0 is 32.558, time taken 0.239 seconds
Sqrt of 1062.0 is 32.588, time taken 0.256 seconds
Sqrt of 1064.0 is 32.619, time taken 0.293 seconds
Sqrt of 1066.0 is 32.650, time taken 0.255 seconds
Sqrt of 1068.0 is 32.680, time taken 0.269 seconds
Sqrt of 1070.0 is 32.711, time taken 0.260 seconds
Sqrt of 1072.0 is 32.741, time taken 0.271 seconds
Sqrt of 1074.0 is 32.772, time taken 0.265 seconds
Sqrt of 1076.0 is 32.802, time taken 0.259 seconds
Sqrt of 1078.0 is 32.833, time taken 0.258 seconds
Sqrt of 1080.0 is 32.863, time taken 0.262 seconds
Sqrt of 1082.0 is 32.894, time taken 0.248 seconds
Sqrt of 1084.0 is 32.924, time taken 0.294 seconds
Sqrt of 1086.0 is 32.955, time taken 0.245 seconds
Sqrt of 1088.0 is 32.985, time taken 0.242 seconds
Sqrt of 1090.0 is 33.015, time taken 0.255 seconds
Sqrt of 1092.0 is 33.045, time taken 0.256 seconds
Sqrt of 1094.0 is 33.076, time taken 0.264 seconds
Sqrt of 1096.0 is 33.106, time taken 0.255 seconds
Sqrt of 1098.0 is 33.136, time taken 0.254 seconds
Sqrt of 1100.0 is 33.166, time taken 0.329 seconds
Sqrt of 1102.0 is 33.196, time taken 0.255 seconds
Sqrt of 1104.0 is 33.226, time taken 0.262 seconds
Sqrt of 1106.0 is 33.257, time taken 0.275 seconds
Sqrt of 1108.0 is 33.287, time taken 0.268 seconds
Sqrt of 1110.0 is 33.317, time taken 0.272 seconds
Sqrt of 1112.0 is 33.347, time taken 0.255 seconds
Sqrt of 1114.0 is 33.377, time taken 0.300 seconds
Sqrt of 1116.0 is 33.407, time taken 0.245 seconds
Sqrt of 1118.0 is 33.437, time taken 0.253 seconds
Sqrt of 1120.0 is 33.466, time taken 0.286 seconds
Sqrt of 1122.0 is 33.496, time taken 0.261 seconds
Sqrt of 1124.0 is 33.526, time taken 0.263 seconds
Sqrt of 1126.0 is 33.556, time taken 0.274 seconds
Sqrt of 1128.0 is 33.586, time taken 0.265 seconds
Sqrt of 1130.0 is 33.615, time taken 0.306 seconds
Sqrt of 1132.0 is 33.645, time taken 0.269 seconds
Sqrt of 1134.0 is 33.675, time taken 0.301 seconds
Sqrt of 1136.0 is 33.705, time taken 0.259 seconds
Sqrt of 1138.0 is 33.734, time taken 0.260 seconds
Sqrt of 1140.0 is 33.764, time taken 0.295 seconds
Sqrt of 1142.0 is 33.793, time taken 0.240 seconds
Sqrt of 1144.0 is 33.823, time taken 0.323 seconds
Sqrt of 1146.0 is 33.853, time taken 0.250 seconds
Sqrt of 1148.0 is 33.882, time taken 0.247 seconds
Sqrt of 1150.0 is 33.912, time taken 0.246 seconds
Sqrt of 1152.0 is 33.941, time taken 0.249 seconds
Sqrt of 1154.0 is 33.971, time taken 0.255 seconds
Sqrt of 1156.0 is 34.000, time taken 0.257 seconds
Sqrt of 1158.0 is 34.029, time taken 0.264 seconds
Sqrt of 1160.0 is 34.059, time taken 0.262 seconds
Sqrt of 1162.0 is 34.088, time taken 0.262 seconds
Sqrt of 1164.0 is 34.117, time taken 0.269 seconds
Sqrt of 1166.0 is 34.147, time taken 0.245 seconds
Sqrt of 1168.0 is 34.176, time taken 0.252 seconds
Sqrt of 1170.0 is 34.205, time taken 0.252 seconds
Sqrt of 1172.0 is 34.234, time taken 0.270 seconds
Sqrt of 1174.0 is 34.264, time taken 0.291 seconds
Sqrt of 1176.0 is 34.293, time taken 0.282 seconds
Sqrt of 1178.0 is 34.322, time taken 0.275 seconds
Sqrt of 1180.0 is 34.351, time taken 0.261 seconds
Sqrt of 1182.0 is 34.380, time taken 0.261 seconds
Sqrt of 1184.0 is 34.409, time taken 0.258 seconds
Sqrt of 1186.0 is 34.438, time taken 0.273 seconds
Sqrt of 1188.0 is 34.467, time taken 0.268 seconds
Sqrt of 1190.0 is 34.496, time taken 0.261 seconds
Sqrt of 1192.0 is 34.525, time taken 0.268 seconds
Sqrt of 1194.0 is 34.554, time taken 0.273 seconds
Sqrt of 1196.0 is 34.583, time taken 0.242 seconds
Sqrt of 1198.0 is 34.612, time taken 0.246 seconds
Sqrt of 1200.0 is 34.641, time taken 0.259 seconds
Sqrt of 1202.0 is 34.670, time taken 0.256 seconds
Sqrt of 1204.0 is 34.699, time taken 0.258 seconds
Sqrt of 1206.0 is 34.728, time taken 0.280 seconds
Sqrt of 1208.0 is 34.756, time taken 0.246 seconds
Sqrt of 1210.0 is 34.785, time taken 0.257 seconds
Sqrt of 1212.0 is 34.814, time taken 0.261 seconds
Sqrt of 1214.0 is 34.843, time taken 0.265 seconds
